model_name,interpretability,dataset_version,Accuracy,Precision,Recall,F1_Score,ROC_AUC
LogisticRegression,Good,1.0.0,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9874338624338624
KNeighbors_K3,Medium,1.0.0,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9846230158730159
SVC_Linear,Medium,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,
GradientBoosting,Bad,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9877645502645502
AdaBoost,Bad,1.0.0,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.986111111111111
